	0	1	2	3	4	5	6
0	1198	1907	-692	-357	0.4948105573273698	0.05312086482715017	0.3447998993380532
1	2837	-808	4030	457	0.30934865258683897	0.1498591835729427	0.761766077369722
2	4314	-900	307	2791	0.7629668960541395	0.5273178801047739	0.7368423857465776
3	-252	1532	3543	4518	0.1577531952430271	0.8230623204208734	0.07687524314944072
4	-324	314	3059	279	0.0505794436126894	0.5099873398651227	0.8232377608115403
5	-404	1881	-461	1191	0.8013597634577501	0.41847212244159593	0.20700547888860377
6	1519	156	659	-33	0.173672694753926	0.6830410257009469	0.3416176737419151
7	13	229	4098	3846	0.06920764054440365	0.6157176886469305	0.3046474945774936
8	3683	2035	1832	995	0.49863500761043955	0.4327400658144709	0.43464806605861306
9	4945	3384	-916	4484	0.9790862521473824	0.49929289745274485	0.8690733560950534
10	-340	311	2598	4561	0.6650731416859135	0.6352629944628708	0.3999395626770176
11	4615	2289	929	4680	0.7017825356925042	0.9553026023183484	0.8602809611648068
12	2192	101	-146	-899	0.7152683149506459	0.6754275078671972	0.6190238966776118
13	4564	-441	-946	-966	0.6218679992803537	0.9291315721774228	0.09593366518515556
14	-304	-389	-385	-980	0.3180717678641163	0.391182609243387	0.7185020184288616
15	4692	1265	-865	-229	0.8201516815814881	0.7408651009489869	0.774450969862345
16	1975	1660	1014	2607	0.8882434993595105	0.3123668807429051	0.32269224256381135
17	4407	4427	772	4763	0.5177693128554348	0.3799520846779707	0.23251569896922986
18	4635	2368	4626	4792	0.5899063623370371	0.029522541371920008	0.432852005139544
19	2407	2977	4653	-557	0.11673300502550155	0.16039485629964667	0.2678875075954267
20	3508	393	356	-789	0.32011699399750826	0.4559152192689374	0.4194096492132612
21	-220	1124	414	3513	0.046577552587959925	0.3885899663856023	0.9301947432260347
22	2305	2162	3252	2303	0.6518262090576463	0.8718009007305532	0.8065038587560701
23	1260	4610	1142	334	0.5136499383309691	0.051143330510378116	0.4741125021038147
24	4270	-196	1925	1976	0.8707865078581788	0.9526109671746333	0.92951133478076
25	3226	-922	3346	1664	0.8455484510012711	0.004576473326321273	0.06418221042785754
26	3043	862	3868	3277	0.40237411473238005	0.9398736323930328	0.34626580718967437
27	4373	2856	1189	4584	0.368547941782823	0.08879158592702951	0.5778998554502424
28	4055	-582	1590	-568	0.6589578121632386	0.10814200773053562	0.7911508097962264
29	-810	3755	4799	1761	0.1843513526920335	0.04213155060991747	0.31597101648347103
30	391	4487	4386	1229	0.03228910723565659	0.4634145672501605	0.4600773612550427
31	-978	4675	4871	3299	0.8879650770516911	0.45173931316140925	0.49409938080665505
32	920	3395	3231	4664	0.9422140987638081	0.3478814124287958	0.9535977177685083
33	958	189	1254	2515	0.26637950852132064	0.5536927559449742	0.7654758348447033
34	2737	4283	-705	4713	0.14323272774658014	0.20956201593110102	0.17187291983990916
35	-895	4208	1299	296	0.41336003925791687	0.031150524586731954	0.20324948107870866
36	1437	1614	128	2009	0.6950091569799057	0.6864681569452109	0.36922405486230636
37	3274	4983	2982	-181	0.41200936963011137	0.24135243478858892	0.5492844727738625
38	-752	4262	886	1553	0.3556953813238858	0.445937701058282	0.46355236963092383
39	2238	2841	3346	-735	0.06340942449373599	0.4604261283402329	0.5291020240271131
40	1939	4214	486	-276	0.4393754521756248	0.08533614403929302	0.4765313873429108
41	1140	3044	3661	1308	0.8169169622703399	0.5478875427409602	0.035331832778209726
42	4569	2877	3203	2433	0.6850781462312643	0.07168135633501649	0.9594675352227419
43	2839	-762	3854	3633	0.9060671590235362	0.8092305009435485	0.5838859166001251
44	924	2738	846	3851	0.4612537178148507	0.4303081992294109	0.9746453814012315
