	0	1	2	3	0	1	2
0	64	2615	358	-376	0.3971330432712178	0.4269665806292612	0.036885752337689426
1	119	3954	1251	-306	0.5549024908354034	0.4977780001556267	0.7527201651707641
2	4324	2431	4980	4688	0.735833071435285	0.12861244042731546	0.8403940380784308
3	2099	2191	4787	-947	0.7537481671533639	0.0037690396212767263	0.28644514836545065
4	-577	3120	2815	3457	0.22914484528276913	0.9343093069523628	0.3996739740001063
5	-409	-336	-663	-713	0.36153562179394316	0.9054211280882739	0.792364037768738
6	1157	-764	-822	990	0.21269594570932215	0.1659008845808545	0.21675064097045948
7	-89	4469	2056	1494	0.8764014262436914	0.04271968213442967	0.9273210786580881
8	3388	3766	3097	4672	0.9031813454032476	0.4077392134316711	0.42410770507328677
9	1630	1133	-414	4957	0.6486447688391417	0.24393729886197868	0.5543334961116515
10	2155	2272	-770	3560	0.9628725363563222	0.44239889970279134	0.9665610740803187
11	1164	3485	573	-313	0.5609338781957938	0.9860528195709649	0.4426554047062542
12	1644	4595	4041	4683	0.7771610480572649	0.033998267467834964	0.6478708379318171
13	345	2735	3807	2035	0.5297779187956377	0.1422864863396398	0.5490408092554383
14	-515	4373	2190	445	0.9945994214796764	0.573711275815039	0.3086049322520107
15	-34	2925	4860	3437	0.8694209266907256	0.9119672665273209	0.08846374000066792
16	-189	1033	3957	-552	0.8503139178292907	0.9221788799027987	0.48148631223851746
17	2606	4119	4528	4939	0.6384146538906159	0.7110157355300104	0.9872073778627252
18	1191	1868	752	3406	0.3384802785770207	0.5821467138542876	0.6652662896134192
19	3725	1646	193	2676	0.786190847699391	0.1382745824091992	0.3709920416756636
20	1989	-422	-560	2411	0.24383201198859006	0.999208910755556	0.7638234701412282
21	-726	4336	459	611	0.39615765420855176	0.516607659998812	0.40980852578163485
22	-120	999	-822	950	0.03393098913932824	0.4045333842227923	0.4243992641429162
23	-970	2900	1625	-524	0.5348681789846568	0.7395281299503434	0.1309021009318524
24	4994	468	4788	4841	0.542883622735449	0.0012102393630625263	0.01941224884528514
25	4007	421	3609	4112	0.8899659185867302	0.46565008198570224	0.6413333166769836
26	2339	3219	663	2025	0.6239123002288819	0.7552279013031651	0.31836182197581187
27	925	607	-341	193	0.9708740525478319	0.5971574181648752	0.038131047084343006
28	343	3957	4081	695	0.03421700814148898	0.5627346465363181	0.4840480576987465
29	-209	425	2066	-162	0.5242217958441885	0.8083196726683737	0.6600437338939306
30	4461	3595	1455	2898	0.7130593391194141	0.9110737966365919	0.30953455355692794
31	423	3378	476	-802	0.09250604103443161	0.5772376330103021	0.08613267951041637
32	84	337	834	2714	0.004701299839067974	0.6581259428858949	0.643276216251696
33	438	4437	3349	3793	0.05288067113256989	0.7810290107556458	0.750889275912936
34	4640	3942	1007	4559	0.5142684024783292	0.6350281634890168	0.7926874898696219
35	-661	4349	425	4821	0.7273035332919975	0.3667070298314111	0.16491266069093746
36	4704	3595	861	4764	0.9747275614959277	0.7776374089290491	0.16647359198047895
37	4648	-685	3519	4389	0.9624681017400709	0.6763017774245448	0.31825072984223
38	4971	934	-127	-413	0.15407540050298396	0.9402044423909753	0.07739167999332419
39	643	2643	2209	501	0.009960585990024251	0.2397322354750071	0.979478683231484
40	568	520	4695	2168	0.5295570255363737	0.03892084732222034	0.7393084047649063
41	4223	-653	967	4668	0.6773016417028822	0.6236112389224868	0.13489795568882346
42	-209	4158	2048	724	0.13916847099694296	0.8484055381468445	0.3206301433892673
43	351	4581	787	132	0.7774945491198632	0.39227993925430293	0.15893014054952603
44	1127	4387	4388	3616	0.3359083415169142	0.7376765131878743	0.9888785621897235
45	4492	4380	-908	2183	0.2154686736500675	0.18754089680903407	0.8048611992488527
46	359	-36	9	4655	0.7280695118079897	0.9406084710991416	0.3474401655300663
47	3929	3299	-919	-379	0.945892414819397	0.13674234221380177	0.8605552977493912
48	4446	3372	2715	4440	0.20923139431925553	0.006074533706883045	0.7283770300923802
49	1790	3010	306	963	0.5307326609005393	0.7117412776132731	0.869057203378185
50	1404	4320	1797	1355	0.3590957856502789	0.39171651774854166	0.6487969659625537
51	4365	1893	-866	2646	0.889270280318844	0.5592393964015269	0.09060724042181734
52	4582	3196	3075	2317	0.13664384601257507	0.7017172207539477	0.054212515660766014
53	-75	4598	2247	-366	0.5901827193014118	0.06031067143961588	0.03810803996463874
54	4079	2110	4084	3217	0.7626589014427847	0.029250921063564528	0.8351114042318277
55	120	-174	513	880	0.7905290669651307	0.44650177480489117	0.757042782385784
56	-316	1228	308	801	0.8509573888685985	0.051823584246886045	0.7565934971412145
57	-560	1886	1086	3131	0.5415181858907373	0.6333996352709336	0.22707432294072605
58	211	4446	4909	1898	0.8466886072893358	0.7378671842378292	0.36363027935625347
59	4189	2767	2035	4136	0.8866021063456581	0.7429708175220207	0.16248309247541737
60	1453	1383	2836	-174	0.33430252594277865	0.37996167040920004	0.6036552141243307
61	2882	106	3196	1402	0.5553393616872233	0.0339861157742265	0.7704025428124213
62	1415	2315	4007	4674	0.7837469089959656	0.526333795801224	0.7308356253821013
63	2321	1053	361	1932	0.31372364328818125	0.30396452500161664	0.5226056783883247
64	3729	-326	-652	381	0.7483270648577498	0.5719573604508611	0.7565893994176416
65	423	1882	4595	-318	0.798751679283717	0.6822559378889188	0.6649078986682828
66	1068	2873	177	3962	0.9030030307338819	0.04298933565177809	0.385165854848609
67	2147	1844	-32	4887	0.03297466845797381	0.22244775089842062	0.7865695660535066
68	1818	4945	3165	3337	0.156732779994595	0.8395282145101608	0.08304244970622232
69	-709	2981	4682	1646	0.7219416599660367	0.6132091165251501	0.2416854828767142
70	361	2328	-827	62	0.27506391512903394	0.2766177159030283	0.36292477413235924
71	1312	3677	4543	4024	0.6115632220233483	0.990350549619903	0.5988162354874541
72	-730	3619	3563	1484	0.63649513490144	0.6053957596233265	0.3783148112535438
73	462	479	2793	1675	0.10523789963995822	0.6250785474065053	0.6048705772004246
74	2740	3388	1543	1212	0.08003513319250455	0.5285187445834322	0.6124539072451215
75	787	1573	-412	2495	0.9377455162340969	0.44539498157816915	0.5624590441330781
76	4504	4663	3522	4407	0.5616008506810747	0.35732218932789483	0.450602893679769
77	-413	3426	4664	3094	0.8996307311459245	0.2584318712015047	0.8842836583158942
78	4597	4270	1531	3659	0.5706113661669758	0.03802562909247664	0.901755348516889
79	943	-617	-716	-358	0.4583351202924819	0.33650029202257425	0.09484415306926608
80	1461	2369	2869	2486	0.14944692414786165	0.12266819428289244	0.21481845037376224
81	4350	-52	714	992	0.3272859064063245	0.5009464942295145	0.6417829597459167
82	503	4654	290	2175	0.3409508337851056	0.2452198306447847	0.3916599421570378
83	4748	2206	210	967	0.1622515318220522	0.12365413201018649	0.8047863387479889
84	4043	1867	691	2749	0.08872131582879761	0.7935855569167712	0.8535873328538303
85	1174	691	4438	3229	0.8258717058685572	0.0480709758578981	0.9889913156331888
86	1636	1762	979	-777	0.927426718419702	0.19777788444587563	0.27306797760851254
87	2702	1307	4055	721	0.7007939416012832	0.20746370270302872	0.9690044513576813
88	2889	860	-387	4891	0.39400021133830954	0.6411144794884319	0.6382777871258055
89	2473	3444	2555	4516	0.4423355890952203	0.16971388066261073	0.6472638084945823
